Código do alimento,Descrição do alimento,Calorias,Campo de Pesquisa
8507913,Suco de manga orgânico ,50.862,SUCO MANGA ORGANICO
8507914,Suco de maracujá orgânico ,60.137,SUCO MARACUJA ORGANICO
8507916,Suco de morango orgânico ,59.209,SUCO MORANGO ORGANICO
8507917,Suco de pêssego orgânico ,53.993,SUCO PESSEGO ORGANICO
8507918,Suco de pêssego em calda orgânico ,53.993,SUCO PESSEGO CALDA ORGANICO
8508003,Pizza pronta light ,255.571,PIZZA PRONTA LIGHT
8508004,Lasanha pronta light ,144.333,LASANHA PRONTA LIGHT
8508012,Macarrão pronto light ,189.862,MACARRAO PRONTO LIGHT
8508017,Pizza portuguesa light,229.617,PIZZA PORTUGUESA LIGHT
8508101,Farofa pronta light em pacote,406.0,FAROFA PRONTA LIGHT PACOTE
8508301,Vaca atolada,245.0,VACA ATOLADA
8508401,"Salada ou verdura crua, exceto de fruta",18.0,SALADA VERDURA CRUA EXCETO FRUTA
8508403,Outros legumes cozidos,60.5,OUTROS LEGUMES COZIDOS
8509801,Café da manha,31.441,CAFE MANHA
8570101,Prato de comida brasileira,148.37413363637867,PRATO COMIDA BRASILEIRA
8570102,Prato de comida do nordeste,129.20801482215074,PRATO COMIDA NORDESTE
8570103,Prato de comida do norte,157.0970710897037,PRATO COMIDA NORTE
8570104,Prato de comida do sudeste,131.0943051552244,PRATO COMIDA SUDESTE
8570105,Prato de comida do sul,148.37413363637867,PRATO COMIDA SUL
8570106,Prato de comida do centro-oeste,105.9299423583826,PRATO COMIDA CENTRO OESTE
8570107,Arroz com feijão,116.51397285356666,ARROZ FEIJAO
8570328,Pão com manteiga,369.5,PAO MANTEIGA
8570329,Pão com margarina,369.8333333333333,PAO MARGARINA
8570330,Pão com ovo,261.2955,PAO OVO
8571110,"Carne com batata, inhame, batata-baroa ou aipim ",188.198,CARNE BATATA INHAME BATATA BAROA AIPIM
8571111,"Carne com legumes (exceto batata, inhame e aipim)",150.523,CARNE LEGUMES EXCETO BATATA INHAME AIPIM
8571112,"Frango com batata, inhame batata-baroa ou aipim",153.698,FRANGO BATATA INHAME BATATA BAROA AIPIM
8571113,"Frango com legumes (exceto batata, inhame e aipim)",116.023,FRANGO LEGUMES EXCETO BATATA INHAME AIPIM
8578404,Abobora com quiabo,21.0,ABOBORA QUIABO
8579002,Arroz carreteiro,154.0,ARROZ CARRETEIRO
8579003,Maria izabel,154.0,MARIA IZABEL
8579004,Arroz de leite,142.422,ARROZ LEITE
8579005,Arroz com mandioca,130.31147285356667,ARROZ MANDIOCA
8579006,Arroz com ovo,179.10697285356667,ARROZ OVO
8800109,Palma ,41.945,PALMA
